label,black_pixels,regions
joy,2494,2
joy,2489,2
gift,2218,1
sun,1647,1
spear,3726,3
gift,2558,1
spear,4577,3
bow,2962,2
spear,2737,3
ash,2190,1
need,1617,1
ash,1111,1
oak,10573,23
sun,2049,1
wealth,2424,1
ash,1715,1
serpent,3279,1
joy,2005,2
ash,5071,2
elk-sedge,1622,1
tyr,2254,1
bow,3527,2
wealth,2840,1
tyr,2763,1
bow,3048,2
tyr,2275,1
gift,2630,1
joy,2253,2
elk-sedge,1822,1
spear,3909,3
oak,3360,1
gift,2692,1
bow,4205,2
need,1849,1
gift,4242,1
gift,4631,2
elk-sedge,3994,1
bow,3584,2
sun,4339,1
need,2172,2
sun,4210,2
joy,1720,2
tyr,2590,1
tyr,1349,1
joy,2647,3
gift,2623,1
serpent,3248,1
spear,5080,3
joy,2124,1
bow,4107,2
joy,2187,2
gift,2871,1
tyr,2388,1
elk-sedge,2323,1
ash,1714,1
serpent,1553,1
spear,2919,3
gift,3118,1
serpent,2429,1
elk-sedge,1784,1
spear,16384,0
sun,2073,1
need,1586,1
need,1519,1
joy,2307,2
sun,1880,1
oak,3176,1
serpent,1656,1
bow,4304,2
tyr,1573,1
joy,2167,2
need,2232,1
ash,2763,1
spear,3576,3
elk-sedge,2700,1
sun,2443,1
spear,4259,3
wealth,2412,1
need,2012,1
bow,4232,2
bow,3686,2
spear,3805,3
wealth,2640,1
wealth,5740,3
bow,3943,2
wealth,2762,1
wealth,2553,1
elk-sedge,2041,2
spear,4572,3
oak,2291,2
bow,3358,2
joy,2620,2
tyr,2583,1
joy,3492,2
ash,1844,1
spear,3481,3
ash,2219,1
ash,2310,1
spear,3913,3
wealth,2375,1
serpent,2349,1
sun,2389,1
need,2084,1
tyr,1788,1
spear,6586,3
sun,16384,0
ash,1980,1
ash,2290,1
sun,2612,1
bow,4080,2
elk-sedge,2251,1
wealth,2516,1
ash,2439,1
need,1847,1
ash,1787,1
oak,2582,1
bow,3367,2
bow,3596,2
spear,3831,3
elk-sedge,1854,1
need,2467,1
need,3266,1
bow,3642,2
tyr,1947,1
tyr,2230,1
elk-sedge,1920,2
ash,2627,2
oak,2487,1
bow,3904,2
oak,2649,1
tyr,2393,1
serpent,2664,1
sun,1913,1
ash,1926,1
sun,2108,1
ash,2569,1
