label,area,axis_major_length,axis_minor_length,eccentricity,h_sym_err_percent,v_sym_err_percent
joy,6709.0,138.03094271894958,108.13616893204264,0.6214929358083682,0.2927939646201873,0.6005463059313215
joy,6157.0,152.5300290723214,89.26240130454369,0.8108803431651987,0.4246878251821019,0.4402965660770031
ash,5815.0,153.3230383854119,98.87672666768474,0.7642741213361836,0.300468262226847,0.4529136316337149
spear,7076.0,138.66108790458168,123.3548809939022,0.4567126775733761,0.343522372528616,0.3508064516129032
gift,7340.0,144.73408631351393,115.92269027521722,0.5987504287802234,0.1649323621227887,0.3366285119667013
oak,6202.0,145.8135088868721,103.275653475456,0.7059394470386866,0.2714620187304891,0.429630593132154
sun,8162.0,162.72230414816826,98.75240691916164,0.7947958433434523,0.4293704474505723,0.3971123829344433
need,5415.0,127.27833885125716,91.03879909141718,0.6988448238652726,0.1785900104058272,0.5061134235171696
need,4858.0,126.85883556780249,83.18555296406892,0.7549926766483699,0.1935483870967742,0.3311654526534859
spear,5167.0,142.04567533603492,118.82250577382236,0.5479529706244886,0.2721123829344433,0.2562434963579604
elk-sedge,4478.0,133.82801295359937,101.77711765442275,0.649329934836773,0.3583506763787721,0.2337408949011446
sun,3927.0,187.5169115322316,84.44753564409257,0.8928540004072893,0.2619667013527575,0.2609261186264308
elk-sedge,5495.0,135.2766179602201,102.72108585674792,0.6506928664479864,0.3164672216441207,0.0472164412070759
need,3932.0,135.65704881635176,80.02809033495758,0.8074547822799898,0.2964360041623309,0.3734391259105099
spear,7150.0,144.5621341123083,119.94019136811232,0.5582405178201187,0.266519250780437,0.1528355879292403
bow,8153.0,154.41079199147262,127.71768161648976,0.5620117561307388,0.4426378772112383,0.3078824141519251
ash,6184.0,144.39987452530434,114.0700488869386,0.6131590575547861,0.2752341311134235,0.4760665972944849
elk-sedge,3164.0,142.2893035585326,98.04869521047468,0.7246853998602389,0.2445369406867846,0.1891259105098855
serpent,5296.0,113.2396621290586,99.8146487916085,0.4722847919375728,0.2460978147762747,0.1581685744016649
need,4583.0,122.02098993728964,86.74489100048059,0.7032917018093593,0.1512747138397502,0.1512747138397502
elk-sedge,5681.0,131.4537282198638,95.4948730893966,0.6872168119447734,0.3736992715920916,0.3076222684703434
elk-sedge,15376.0,143.17821063276352,143.17821063276352,0.0,0.0,0.0
bow,8539.0,156.89907737980707,119.65123096780538,0.646870383385631,0.4647502601456816,0.4782778355879292
sun,5851.0,163.19834650237075,96.0106546045604,0.8086379997901576,0.3699271592091571,0.350156087408949
bow,8536.0,159.47997030886256,119.41882757675182,0.6627944172436787,0.4745057232049948,0.5010405827263268
spear,6037.0,132.56867642071177,120.07694639396496,0.4237661509134478,0.3249219562955255,0.3561394380853278
bow,7644.0,158.27319919445347,110.49742513939697,0.71595773469608,0.3820239334027055,0.4946670135275754
oak,4982.0,161.1059038514578,87.18469012440822,0.8409171746283749,0.2680801248699271,0.4402965660770031
joy,6443.0,147.81151749822098,101.92055696761852,0.7242565985315812,0.3028095733610822,0.5689386056191468
serpent,6443.0,117.46478171467804,100.99994711924762,0.5105775030936115,0.2091571279916753,0.2130593132154006
joy,6711.0,137.70463805740886,107.97086644372185,0.6206651502496109,0.3826742976066597,0.5585327783558793
need,3702.0,123.78092809746556,85.03210121842672,0.7266986303479541,0.1742976066597294,0.1982310093652445
bow,7249.0,149.58052171648458,122.32329861043104,0.575537221233185,0.4240374609781477,0.3727887617065556
bow,8397.0,152.04854608518664,134.2724060913769,0.4692054241576982,0.4062174817898022,0.2961758584807492
joy,6104.0,149.6357340315553,99.23938216861308,0.7484365173878342,0.3077523413111342,0.4950572320499479
spear,10161.0,129.90578319224403,122.67190698047266,0.3290444306671233,0.2013527575442247,0.2245057232049948
elk-sedge,4752.0,137.81604118564942,98.66371653252516,0.6981938065243432,0.3249219562955255,0.2869406867845994
ash,7350.0,148.33503404088455,98.02201560164028,0.7505488225593143,0.3887877211238293,0.4769771071800208
oak,5056.0,158.61697565358645,97.16794403877248,0.790397075625138,0.2778355879292404,0.4185744016649323
serpent,6809.0,130.8996250149559,95.04450578665232,0.6876029246949401,0.4854318418314256,0.3126951092611862
tyr,3666.0,129.16287220156195,106.93078232861204,0.5609118410119388,0.2233350676378772,0.0706295525494276
gift,5640.0,138.45019342782112,120.8699823156094,0.4876818915398062,0.4505723204994797,0.1136836628511966
ash,6772.0,143.31870015459566,113.45279658248128,0.6110241491773203,0.2734131113423517,0.4516129032258064
bow,8158.0,157.54487193628236,118.64852582355236,0.6578952910438306,0.4112903225806452,0.3662851196670135
sun,3883.0,191.03681595216915,80.78208888042766,0.9061943861290668,0.2946149843912591,0.3102237252861602
bow,8193.0,159.567090353668,136.29626381422187,0.5200057750253183,0.407258064516129,0.3068418314255983
bow,6897.0,153.67200115326708,115.9300551886223,0.6564157571190452,0.4357440166493236,0.4648803329864724
ash,6878.0,149.55099895958617,94.67277582657388,0.7741135547102093,0.3288241415192507,0.490894901144641
bow,7589.0,163.1812842113318,117.59712323853864,0.6932956724548602,0.4500520291363163,0.3626430801248699
gift,3054.0,151.27221829311452,99.6945179198371,0.7521074546694235,0.2460978147762747,0.2219042663891779
tyr,6073.0,130.7165771038071,96.12979604556998,0.6776264121666161,0.2699011446409989,0.1798907388137356
ash,7847.0,131.10970044731852,113.86934538831976,0.4956815420021253,0.3173777315296566,0.6090010405827263
tyr,4571.0,138.59814235656154,97.275198873036,0.7123241109585778,0.2241155046826222,0.2792663891779396
spear,6701.0,143.8259211257249,111.97221741337744,0.6276123686337296,0.4830905306971904,0.3199791883454734
bow,7656.0,165.8252263392045,116.67686402416756,0.7105829124373377,0.4059573361082206,0.4140218522372528
ash,5825.0,129.32522011742503,115.4563007401279,0.4505338224643652,0.3315556711758585,0.4392559833506764
sun,4783.0,195.29446086338055,74.704050759366,0.9239471826697414,0.3963319458896982,0.3609521331945889
elk-sedge,4590.0,129.20864260799394,100.38220314548036,0.6296239237338455,0.2774453694068678,0.2004422476586888
ash,6214.0,142.27142739866667,115.72807823473008,0.5816605480094318,0.2743236212278876,0.4665712799167534
bow,6910.0,153.38752313684165,120.45905402644526,0.6190837348887017,0.3954214360041623,0.3982830385015609
serpent,8597.0,117.0749489136025,110.82765331232936,0.3222973190665061,0.2497398543184183,0.2385535900104058
tyr,3632.0,140.85688299655146,97.38543478953228,0.7224926499783783,0.1886056191467221,0.2838189386056191
wealth,4359.0,157.8263003084157,97.79194400871154,0.7849038817711346,0.2256763787721123,0.3984131113423517
joy,5975.0,147.62238857365747,105.37680698303971,0.7003223535160561,0.389047866805411,0.4483610822060354
joy,6438.0,154.67659421908235,92.54521908004264,0.8012615001238426,0.3193288241415192,0.4918054110301769
need,4634.0,121.17481205475475,86.61843451307142,0.6993063383210267,0.1171956295525494,0.1255202913631633
elk-sedge,4773.0,132.8221250937936,101.1912900274654,0.6477468081718445,0.3600416233090531,0.3077523413111342
bow,7345.0,166.20937991138908,125.5755248479444,0.6551185464130809,0.4162330905306972,0.3361082206035379
spear,7145.0,136.57294071783733,111.3949199234641,0.5785539069218374,0.4533038501560874,0.3978928199791883
elk-sedge,4451.0,135.10678441116465,100.47366164868392,0.6685567659039031,0.2403746097814776,0.1485431841831425
elk-sedge,5913.0,129.18521830525293,102.0258635473592,0.6134105250144444,0.3743496357960458,0.1508844953173777
ash,6877.0,148.68229837830492,111.2155402498693,0.6636897742243641,0.3136056191467222,0.511576482830385
tyr,3835.0,133.58798463031675,97.45953126779791,0.6839241492825401,0.2264568158168574,0.1099115504682622
elk-sedge,4628.0,130.55717366922815,105.1309906254709,0.5929372457301075,0.2558532778355879,0.125
need,4619.0,134.48450045628408,77.76327404292029,0.8158722177982035,0.2250260145681581,0.3033298647242455
spear,7281.0,137.65902152104698,120.67674632564382,0.4811555826910262,0.4161030176899064,0.2810874089490114
elk-sedge,4563.0,129.65941511928952,103.55829552838814,0.6017363868547815,0.3345473465140479,0.2294484911550468
spear,8438.0,131.72514161013294,117.90730827023516,0.4458633968815532,0.4017950052029136,0.3008584807492195
need,5145.0,137.54581269767235,73.8512493610669,0.8436324614295551,0.3488553590010406,0.3475546305931321
wealth,6363.0,147.25425159378418,95.9699446505103,0.7584514589453627,0.3854058272632674,0.4866024973985431
serpent,5977.0,115.54149568473817,108.40087384561087,0.346097264185705,0.3362382934443288,0.2410249739854318
joy,6521.0,145.3897405190639,97.55661574780062,0.7414567271662382,0.3076222684703434,0.5448751300728408
oak,7065.0,155.369223494363,104.6763641181882,0.7389807810920295,0.3108740894901144,0.5150884495317378
gift,6537.0,151.46384700953453,97.19292328185384,0.7669636264123327,0.3115244536940686,0.356789802289282
need,7229.0,128.2476160394037,92.6264632850581,0.6916351554681133,0.3417013527575442,0.3422216441207076
ash,5175.0,153.20013876549845,105.1180862514722,0.7274612499246123,0.3364984391259105,0.4223465140478668
wealth,4454.0,152.07044998048192,86.43795249847008,0.8227473194476529,0.3991935483870967,0.3591311134235171
need,6481.0,132.31992696510116,90.26833846609144,0.7311678435164086,0.2506503642039542,0.3013787721123829
bow,7441.0,158.6477059050421,119.7738030159674,0.6557626357526577,0.4252081165452653,0.3390998959417273
elk-sedge,15376.0,143.17821063276352,143.17821063276352,0.0,0.0,0.0
spear,4483.0,130.0623896105846,118.8869089363292,0.4055429261495072,0.2529916753381894,0.3130853277835588
gift,5860.0,142.0963810890128,116.37894886917807,0.5737732984088382,0.2030437044745057,0.2009625390218522
ash,7476.0,143.59498408411878,113.1897196614822,0.6153464471877182,0.3156867845993756,0.5565816857440167
sun,7182.0,168.6426146605097,93.69689344174472,0.8314534594371817,0.4101196670135276,0.3994536940686785
need,4378.0,126.7687148060466,86.11524947073919,0.7338514769199125,0.2155306971904266,0.3950312174817898
serpent,4427.0,115.64779429499607,93.30782758335188,0.5907870089281742,0.2152705515088449,0.2782258064516129
elk-sedge,5449.0,131.4481159955762,104.54817736211048,0.6061412910520507,0.3470343392299688,0.1334547346514047
oak,6237.0,149.46148715723714,121.9629656798672,0.5780293065866785,0.3980228928199792,0.4222164412070759
wealth,6140.0,157.3246740187873,94.2539311988512,0.8006707900563599,0.3430020811654526,0.4600676378772112
sun,5090.0,167.08611306407465,90.78181337059009,0.8395234146925982,0.3574401664932362,0.3603017689906347
oak,5782.0,160.6406097821017,91.58845385408624,0.8215440243398096,0.3229708636836628,0.4608480749219563
spear,6133.0,134.9475518866096,121.6646114574266,0.432634073898376,0.2816077003121748,0.3380593132154006
spear,5997.0,135.24352962670574,122.48662595863576,0.4239735459291562,0.3147762747138397,0.3574401664932362
elk-sedge,4647.0,131.15398953474747,101.92749084032091,0.6293044072672178,0.3176378772112383,0.1599895941727367
spear,7325.0,135.31771856758502,122.40158242786502,0.4263685006565838,0.4361342351716961,0.2516909469302809
need,4418.0,127.59725634090722,86.99259771679901,0.7315620831729532,0.2255463059313215,0.391519250780437
joy,5268.0,146.50156523431022,99.9478755922861,0.7311369071922821,0.2585848074921956,0.4399063475546306
joy,7370.0,147.7821550020849,94.02799554181917,0.7714740211611195,0.4118106139438085,0.4742455775234131
oak,6584.0,150.19736861701134,114.26437109986536,0.6490315740670627,0.3504162330905307,0.4542143600416233
elk-sedge,5082.0,140.23553808381354,94.89927350723802,0.736246506927157,0.3028095733610822,0.3423517169614984
ash,7479.0,144.43130171088077,115.83062336955028,0.5973545284242007,0.2745837669094693,0.5152185223725286
oak,6344.0,143.79800971912707,105.20909298213772,0.6816858607062196,0.3168574401664932,0.4427679500520291
elk-sedge,5374.0,136.96563918270886,101.8767996457472,0.6683879670096767,0.3348074921956295,0.1742976066597294
serpent,6818.0,122.63531633612874,102.4482377641636,0.5496586451928045,0.3899583766909469,0.2468782518210197
spear,7445.0,135.25695662057345,122.45260872398508,0.4247020826810639,0.3838449531737773,0.2431061394380853
serpent,5760.0,121.0322227613887,93.98814696067342,0.6300497813859758,0.3632934443288241,0.2428459937565036
