label,area,area_filled,area_convex,axis_major_length,axis_minor_length,eccentricity,equivalent_diameter_area,extent,feret_diameter_max,perimeter,solidity,holes,h_sym_err_percent,v_sym_err_percent,pixelsum_tl,pixelsum_tm,pixelsum_tr,pixelsum_ml,pixelsum_mm,pixelsum_mr,pixelsum_bl,pixelsum_bm,pixelsum_br
elk-sedge,3164.0,3164.0,8758.0,142.2893035585326,98.04869521047469,0.7246853998602389,63.47070126871181,0.20577523413111343,146.4923206178399,555.3624817342637,0.36126969627768896,0,0.2445369406867846,0.18912591050988553,0,0,12,19,17,17,15,15,15
serpent,5296.0,5296.0,10490.0,113.2396621290586,99.8146487916085,0.4722847919375728,82.11623852148503,0.34443288241415193,131.24404748406687,655.0193359837562,0.5048617731172546,0,0.2460978147762747,0.15816857440166493,0,0,16,88,85,79,22,22,22
need,4583.0,4583.0,9183.0,122.02098993728963,86.74489100048059,0.7032917018093593,76.38885280930229,0.29806191467221643,128.3160161476345,499.9238815542512,0.49907437656539255,0,0.15127471383975025,0.15127471383975025,0,0,18,47,49,52,26,26,26
elk-sedge,5681.0,5681.0,9580.0,131.4537282198638,95.49487308939659,0.6872168119447734,85.04865580149082,0.36947190426638915,137.53544997563355,505.5634918610404,0.5930062630480167,0,0.3736992715920916,0.3076222684703434,0,0,17,88,85,80,27,27,27
elk-sedge,15376.0,15376.0,15376.0,143.17821063276352,143.17821063276352,0.0,139.91901671984357,1.0,174.6568063374571,492.0,1.0,0,0.0,0.0,0,0,124,124,124,124,124,124,124
bow,8539.0,10334.0,12785.0,156.89907737980707,119.65123096780538,0.646870383385631,104.26980614009769,0.5553459937565036,165.6804152578089,844.5929291125634,0.6678920610089949,1,0.4647502601456816,0.47827783558792925,0,0,23,54,54,52,72,74,74
sun,5851.0,5851.0,10978.0,163.19834650237075,96.01065460456039,0.8086379997901576,86.31178700644216,0.38052809573361085,160.5615146914104,598.350288425444,0.5329750409910731,0,0.36992715920915714,0.350156087408949,0,0,17,75,78,82,26,26,26
bow,8536.0,10446.0,12769.0,159.47997030886256,119.41882757675182,0.6627944172436787,104.25148801748274,0.5551508844953174,166.20770138594662,850.5929291125633,0.6684940089278721,1,0.4745057232049948,0.5010405827263268,0,0,18,53,51,53,73,73,73
spear,6037.0,6325.0,13999.0,132.56867642071177,120.07694639396496,0.4237661509134478,87.67295553114528,0.3926248699271592,169.11830178901394,839.1930009000631,0.4312450889349239,2,0.3249219562955255,0.3561394380853278,0,0,15,70,76,85,39,42,43
bow,7644.0,9101.0,11596.0,158.27319919445347,110.49742513939695,0.71595773469608,98.65415895924299,0.49713839750260147,170.4494059831245,808.3919189857867,0.6591928251121076,1,0.3820239334027055,0.4946670135275754,0,0,21,52,52,52,69,69,71
oak,4982.0,4982.0,9299.0,161.1059038514578,87.18469012440822,0.8409171746283749,79.64470736885522,0.3240114464099896,169.799882214329,621.5046173579947,0.5357565329605334,0,0.26808012486992716,0.4402965660770031,0,0,17,47,45,47,20,20,20
joy,6443.0,7202.0,9976.0,147.81151749822098,101.92055696761851,0.7242565985315812,90.57307760437786,0.4190296566077003,152.0526224699857,615.7645019878172,0.6458500400962309,1,0.3028095733610822,0.5689386056191468,0,0,31,95,98,95,31,31,31
serpent,6443.0,6444.0,10972.0,117.46478171467803,100.99994711924762,0.5105775030936115,90.57307760437786,0.4190296566077003,136.8941196691808,655.6883835420683,0.5872220196864747,1,0.20915712799167535,0.21305931321540061,0,0,17,87,82,78,80,75,76
joy,6711.0,7505.0,9991.0,137.70463805740886,107.97086644372183,0.6206651502496109,92.43760373742754,0.43645941727367327,142.27438279606065,614.0071426749364,0.6717045340806727,1,0.3826742976066597,0.5585327783558793,0,0,21,83,81,81,35,32,32
need,3702.0,3703.0,8914.0,123.78092809746556,85.03210121842672,0.7266986303479541,68.65517310887485,0.24076482830385015,127.81627439414747,520.7106781186548,0.4153017724927081,1,0.17429760665972946,0.19823100936524454,0,0,15,57,62,68,20,20,20
bow,7249.0,9233.0,11737.0,149.58052171648458,122.32329861043105,0.575537221233185,96.07139771953563,0.47144901144641,150.14659503298768,814.5340546095176,0.6176194939081537,1,0.42403746097814776,0.37278876170655567,0,0,18,50,50,52,69,69,70
bow,8397.0,11297.0,12963.0,152.04854608518664,134.2724060913769,0.4692054241576982,103.39918982826298,0.5461108220603538,156.46405337968207,828.2914139223983,0.6477667206665124,1,0.40621748178980227,0.29617585848074923,0,0,32,54,54,52,121,121,119
joy,6104.0,6386.0,10057.0,149.6357340315553,99.23938216861308,0.7484365173878342,88.15812033535784,0.3969823100936524,150.33296378372907,590.8528137423857,0.6069404394948792,1,0.3077523413111342,0.49505723204994795,0,0,34,53,47,34,30,30,30
spear,10161.0,10408.0,13746.0,129.90578319224403,122.67190698047266,0.3290444306671233,113.74263498817842,0.6608350676378772,155.8621185535472,721.955410846827,0.7391968572675688,2,0.20135275754422477,0.2245057232049948,0,0,46,86,88,90,98,96,92
elk-sedge,4752.0,4752.0,9296.0,137.81604118564942,98.66371653252516,0.6981938065243432,77.78453777314289,0.3090530697190427,144.84474446799925,555.4213562373095,0.5111876075731497,0,0.3249219562955255,0.2869406867845994,0,0,17,47,42,42,22,22,22
ash,7350.0,7350.0,10437.0,148.33503404088455,98.02201560164028,0.7505488225593143,96.73836185197393,0.4780176899063476,152.2005256232711,630.3086578651014,0.704225352112676,0,0.38878772112382937,0.4769771071800208,0,0,26,66,66,60,37,37,37
oak,5056.0,5056.0,9669.0,158.61697565358645,97.16794403877248,0.790397075625138,80.2340273087484,0.32882414151925077,169.03549923019128,667.1614716074871,0.522908263522598,0,0.2778355879292404,0.41857440166493237,0,0,19,47,40,36,19,19,19
serpent,6809.0,6809.0,10966.0,130.8996250149559,95.04450578665231,0.6876029246949401,93.11008570558683,0.4428329864724246,137.7679207943562,624.5512985522207,0.6209192048148824,0,0.4854318418314256,0.31269510926118627,0,0,22,82,82,76,32,35,35
tyr,3666.0,3666.0,9231.0,129.16287220156195,106.93078232861204,0.5609118410119388,68.32053989101013,0.238423517169615,125.44720004846661,549.0193359837562,0.39714007149821257,0,0.22333506763787722,0.07062955254942768,0,0,21,48,45,43,15,15,15
gift,5640.0,5640.0,13105.0,138.45019342782112,120.8699823156094,0.48768189153980623,84.7412003237287,0.3668054110301769,159.8311609167624,696.475180106472,0.43037008775276614,0,0.4505723204994797,0.11368366285119667,0,0,18,55,56,56,44,46,48
ash,6772.0,6772.0,11625.0,143.31870015459566,113.45279658248128,0.6110241491773203,92.85676171903972,0.440426638917794,147.92227688891217,691.1370849898476,0.5825376344086022,0,0.27341311134235174,0.45161290322580644,0,0,27,37,45,45,34,31,31
bow,8158.0,9639.0,12816.0,157.54487193628236,118.64852582355235,0.6578952910438306,101.91706533230565,0.5305671175858481,169.7586522095413,877.9066376115479,0.6365480649188514,1,0.4112903225806452,0.36628511966701355,0,0,33,49,47,47,66,67,67
sun,3883.0,3883.0,10132.0,191.03681595216915,80.78208888042766,0.9061943861290669,70.31350618627006,0.25253642039542146,171.86331778480246,568.6101730552664,0.38324121594946703,0,0.2946149843912591,0.31022372528616027,0,0,9,16,16,18,49,49,43
bow,8193.0,11694.0,13651.0,159.567090353668,136.29626381422187,0.5200057750253183,102.13545706567915,0.5328433922996878,159.3643623900902,881.0609665440987,0.6001758112958757,1,0.40725806451612906,0.30684183142559834,0,0,37,48,48,48,121,118,112
