area,area_filled,area_convex,axis_major_length,axis_minor_length,eccentricity,equivalent_diameter_area,extent,feret_diameter_max,perimeter,holes,h_sym_err_percent,v_sym_err_percent,pixelsum_tr,pixelsum_ml,pixelsum_mm,pixelsum_mr,pixelsum_bl,pixelsum_bm,pixelsum_br,label
6709.0,7504.0,10025.0,138.03094271894958,108.13616893204264,0.6214929358083682,92.42382866787226,0.4363293444328824,142.00352108310554,611.2792206135786,1.0,0.2927939646201873,0.6005463059313215,24.0,78.0,78.0,78.0,33.0,33.0,33.0,joy
6157.0,6465.0,9460.0,152.5300290723214,89.26240130454369,0.8108803431651987,88.54002415255147,0.4004292403746098,158.38244852255568,563.4802307403553,1.0,0.4246878251821019,0.4402965660770031,19.0,75.0,78.0,80.0,28.0,28.0,28.0,joy
5815.0,5815.0,10490.0,153.3230383854119,98.87672666768474,0.7642741213361836,86.04584796859736,0.3781867845993756,152.22680447279973,680.350288425444,0.0,0.300468262226847,0.4529136316337149,24.0,67.0,73.0,78.0,29.0,32.0,32.0,ash
7076.0,7623.0,14451.0,138.66108790458168,123.3548809939022,0.4567126775733761,94.91808583481873,0.4601977107180021,172.55723688098394,872.5067093990478,2.0,0.343522372528616,0.3508064516129032,25.0,44.0,44.0,48.0,78.0,72.0,70.0,spear
7340.0,7340.0,13495.0,144.73408631351393,115.92269027521722,0.5987504287802234,96.67253104349804,0.4773673257023933,164.10362579784763,674.8183258569795,0.0,0.1649323621227887,0.3366285119667013,25.0,65.0,63.0,61.0,67.0,64.0,66.0,gift
6202.0,6202.0,10566.0,145.8135088868721,103.275653475456,0.7059394470386866,88.86299374006865,0.4033558792924037,163.41664541900252,670.776695296637,0.0,0.2714620187304891,0.429630593132154,22.0,68.0,64.0,60.0,50.0,48.0,48.0,oak
8162.0,8162.0,11979.0,162.72230414816826,98.75240691916164,0.7947958433434523,101.94204806716608,0.5308272632674298,160.4306703844374,591.6223663640862,0.0,0.4293704474505723,0.3971123829344433,24.0,53.0,61.0,68.0,90.0,88.0,86.0,sun
5415.0,5415.0,9773.0,127.27833885125716,91.03879909141718,0.6988448238652726,83.033680724998,0.352172216441207,131.91285001848755,525.4802307403553,0.0,0.1785900104058272,0.5061134235171696,23.0,61.0,64.0,64.0,61.0,61.0,61.0,need
4858.0,4858.0,9385.0,126.85883556780249,83.18555296406892,0.7549926766483699,78.64729943439521,0.3159469302809573,130.60245020672468,514.1665222413704,0.0,0.1935483870967742,0.3311654526534859,21.0,74.0,75.0,78.0,28.0,28.0,28.0,need
5167.0,6551.0,14450.0,142.04567533603492,118.82250577382236,0.5479529706244886,81.10997921123261,0.3360431841831425,171.86331778480246,992.430590953299,2.0,0.2721123829344433,0.2562434963579604,16.0,60.0,65.0,68.0,43.0,41.0,38.0,spear
4478.0,4478.0,9148.0,133.82801295359937,101.77711765442275,0.649329934836773,75.5087192403901,0.2912330905306972,146.47866738880444,574.0904037956216,0.0,0.3583506763787721,0.2337408949011446,16.0,56.0,53.0,51.0,20.0,20.0,20.0,elk-sedge
3927.0,3927.0,10054.0,187.5169115322316,84.44753564409257,0.8928540004072893,70.7107607947686,0.25539802289282,174.6568063374571,583.1370849898476,0.0,0.2619667013527575,0.2609261186264308,13.0,53.0,53.0,56.0,16.0,16.0,19.0,sun
5495.0,5495.0,9670.0,135.2766179602201,102.72108585674792,0.6506928664479864,83.64479241602383,0.3573751300728408,138.92443989449805,506.43354954612926,0.0,0.3164672216441207,0.0472164412070759,14.0,52.0,48.0,45.0,25.0,25.0,25.0,elk-sedge
3932.0,3933.0,8747.0,135.65704881635176,80.02809033495758,0.8074547822799898,70.75576223812914,0.255723204994797,134.8517704741024,531.8061325481598,1.0,0.2964360041623309,0.3734391259105099,14.0,37.0,40.0,40.0,60.0,58.0,55.0,need
7150.0,7682.0,14599.0,144.5621341123083,119.94019136811232,0.5582405178201187,95.41311620975604,0.4650104058272633,172.55723688098394,884.9503602129438,2.0,0.266519250780437,0.1528355879292403,28.0,92.0,92.0,93.0,45.0,44.0,46.0,spear
8153.0,10584.0,12779.0,154.41079199147262,127.71768161648976,0.5620117561307388,101.8858282992575,0.530241935483871,160.52725625263767,825.320851173921,1.0,0.4426378772112383,0.3078824141519251,19.0,53.0,54.0,52.0,123.0,112.0,112.0,bow
6184.0,6184.0,11717.0,144.39987452530434,114.0700488869386,0.6131590575547861,88.73394696868976,0.4021852237252861,149.26486525636233,724.7350647362942,0.0,0.2752341311134235,0.4760665972944849,30.0,30.0,30.0,30.0,33.0,33.0,33.0,ash
3164.0,3164.0,8758.0,142.2893035585326,98.04869521047468,0.7246853998602389,63.47070126871181,0.2057752341311134,146.4923206178399,555.3624817342637,0.0,0.2445369406867846,0.1891259105098855,12.0,19.0,17.0,17.0,15.0,15.0,15.0,elk-sedge
5296.0,5296.0,10490.0,113.2396621290586,99.8146487916085,0.4722847919375728,82.11623852148503,0.3444328824141519,131.24404748406687,655.0193359837562,0.0,0.2460978147762747,0.1581685744016649,16.0,88.0,85.0,79.0,22.0,22.0,22.0,serpent
4583.0,4583.0,9183.0,122.02098993728964,86.74489100048059,0.7032917018093593,76.38885280930229,0.2980619146722164,128.3160161476345,499.9238815542512,0.0,0.1512747138397502,0.1512747138397502,18.0,47.0,49.0,52.0,26.0,26.0,26.0,need
5681.0,5681.0,9580.0,131.4537282198638,95.4948730893966,0.6872168119447734,85.04865580149082,0.3694719042663891,137.53544997563355,505.5634918610404,0.0,0.3736992715920916,0.3076222684703434,17.0,88.0,85.0,80.0,27.0,27.0,27.0,elk-sedge
8539.0,10334.0,12785.0,156.89907737980707,119.65123096780538,0.646870383385631,104.26980614009769,0.5553459937565036,165.6804152578089,844.5929291125634,1.0,0.4647502601456816,0.4782778355879292,23.0,54.0,54.0,52.0,72.0,74.0,74.0,bow
